epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1377.26,1.17915,1.43048,1.13032,1.40196,0.54413,0.49094,0.50164,0.27666,0.70208,0.4578,0.47883,0.21207,1.49492,1.41926,1.40434,1.75071,0.000300136,0.000300136,0.000300136
44,1408.89,1.16971,1.48189,1.13219,1.40563,0.57306,0.50799,0.48794,0.26266,0.55788,0.44415,0.46047,0.20026,1.55459,1.5127,1.49402,1.80336,0.000287449,0.000287449,0.000287449
45,1441.48,1.18505,1.46956,1.13792,1.41272,0.68845,0.37419,0.3994,0.21046,0.67692,0.35877,0.35133,0.14049,1.64372,1.77992,1.93535,1.88034,0.000274762,0.000274762,0.000274762
46,1472.5,1.19167,1.4817,1.13149,1.4267,0.54148,0.47222,0.48814,0.25455,0.52973,0.4562,0.45419,0.18126,1.59342,1.51508,1.46359,1.8639,0.000262075,0.000262075,0.000262075
47,1505.03,1.16851,1.44448,1.09894,1.40245,0.71678,0.48987,0.50364,0.27358,0.71579,0.47174,0.48028,0.20369,1.5175,1.43144,1.38875,1.78846,0.000249387,0.000249387,0.000249387
48,1536.02,1.14493,1.38382,1.06259,1.37372,0.67937,0.40686,0.40349,0.22633,0.6789,0.39549,0.38308,0.15796,1.57415,1.80709,1.83672,1.8136,0.0002367,0.0002367,0.0002367
49,1566.98,1.14278,1.39594,1.08709,1.38919,0.69851,0.51555,0.51144,0.2877,0.71539,0.48897,0.48675,0.21694,1.46599,1.35962,1.35238,1.73214,0.000224013,0.000224013,0.000224013
50,1598.57,1.13757,1.41461,1.06321,1.36003,0.56485,0.49655,0.51447,0.285,0.56706,0.49167,0.50728,0.2122,1.46829,1.37698,1.35949,1.73667,0.000211326,0.000211326,0.000211326
51,1633.2,1.13581,1.37812,1.06262,1.37717,0.71147,0.47154,0.51451,0.27229,0.69925,0.45655,0.47848,0.19648,1.51353,1.40535,1.36803,1.75832,0.000198638,0.000198638,0.000198638
52,1665.08,1.10746,1.36469,1.01849,1.35866,0.71496,0.52091,0.52994,0.29333,0.70347,0.51329,0.50895,0.21775,1.47422,1.39445,1.34394,1.74133,0.000185951,0.000185951,0.000185951
53,1696.69,1.12191,1.38823,1.0296,1.36447,0.57579,0.51122,0.50118,0.27327,0.56169,0.49249,0.48417,0.20323,1.48682,1.40182,1.35248,1.75579,0.000173264,0.000173264,0.000173264
