epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1119.67,1.31699,1.65905,1.35842,1.447,0.66896,0.43015,0.45442,0.26183,0.63989,0.41379,0.41697,0.17496,1.5085,1.67261,1.48472,1.65979,0.000478392,0.000478392,0.000478392
45,1144.3,1.33848,1.65436,1.39139,1.47217,0.6671,0.42653,0.45217,0.25479,0.65765,0.42168,0.42106,0.1759,1.54122,1.63367,1.52396,1.69732,0.000470145,0.000470145,0.000470145
46,1168.17,1.31225,1.62395,1.3479,1.4587,0.71591,0.4116,0.43975,0.24405,0.68639,0.379,0.39321,0.15628,1.59175,1.69015,1.58955,1.75647,0.000461898,0.000461898,0.000461898
47,1192.12,1.31917,1.60912,1.3066,1.45047,0.66801,0.44018,0.46156,0.26656,0.66144,0.42036,0.43145,0.1908,1.47511,1.52213,1.47221,1.65529,0.000453652,0.000453652,0.000453652
48,1216.23,1.28927,1.53376,1.26902,1.42436,0.67372,0.32867,0.35665,0.20922,0.66027,0.31004,0.32693,0.13214,1.61087,2.32314,2.25007,1.75726,0.000445405,0.000445405,0.000445405
49,1240.39,1.30108,1.58677,1.31681,1.44923,0.66127,0.43276,0.46942,0.26598,0.63559,0.4034,0.41845,0.18372,1.46211,1.55851,1.45572,1.62248,0.000437158,0.000437158,0.000437158
50,1264.11,1.28268,1.55508,1.28551,1.421,0.6898,0.44332,0.47685,0.27287,0.67318,0.42288,0.43914,0.19318,1.48906,1.54264,1.47556,1.66445,0.000428912,0.000428912,0.000428912
51,1288.04,1.30119,1.61056,1.33514,1.43619,0.67845,0.4451,0.47284,0.26937,0.66738,0.42934,0.44887,0.20405,1.48922,1.52832,1.47069,1.64729,0.000420665,0.000420665,0.000420665
52,1312.19,1.26815,1.56,1.26977,1.40586,0.64009,0.44451,0.47237,0.27073,0.61753,0.41527,0.43385,0.18827,1.50852,1.61578,1.43404,1.65895,0.000412418,0.000412418,0.000412418
53,1336.02,1.26562,1.55742,1.23648,1.41105,0.65238,0.47082,0.46471,0.26054,0.66173,0.42446,0.43234,0.18721,1.54054,1.55781,1.49416,1.69602,0.000404172,0.000404172,0.000404172
54,1364.01,1.26253,1.53496,1.25118,1.41994,0.69528,0.44836,0.48356,0.28053,0.69676,0.40895,0.44665,0.18581,1.4669,1.54632,1.42098,1.64031,0.000395925,0.000395925,0.000395925
55,1390.83,1.24075,1.54037,1.21423,1.40065,0.65106,0.45401,0.48322,0.27635,0.63647,0.43919,0.44504,0.19589,1.48642,1.57225,1.46097,1.67553,0.000387678,0.000387678,0.000387678
56,1414.63,1.23295,1.50259,1.21298,1.39519,0.70849,0.43426,0.46088,0.26545,0.68909,0.42222,0.4365,0.18613,1.50045,1.57031,1.44636,1.65402,0.000379431,0.000379431,0.000379431
57,1438.51,1.28518,1.56789,1.24829,1.42222,0.6959,0.4433,0.48601,0.27606,0.68063,0.43227,0.45499,0.20282,1.49095,1.52416,1.43801,1.64715,0.000371185,0.000371185,0.000371185
58,1462.94,1.21144,1.46485,1.17625,1.37775,0.66345,0.44782,0.48423,0.28343,0.63735,0.45392,0.45378,0.19311,1.46866,1.62421,1.37921,1.63035,0.000362938,0.000362938,0.000362938
59,1488.45,1.20911,1.52326,1.17556,1.38099,0.70839,0.45264,0.49365,0.28688,0.69096,0.45119,0.4594,0.20631,1.44551,1.49475,1.35662,1.60959,0.000354691,0.000354691,0.000354691
60,1512.58,1.19973,1.49488,1.1521,1.37192,0.66708,0.46507,0.48264,0.28529,0.66688,0.46039,0.46114,0.20468,1.47725,1.53763,1.32659,1.64447,0.000346445,0.000346445,0.000346445
61,1536.41,1.21553,1.48965,1.15314,1.37138,0.68431,0.4547,0.48227,0.28062,0.69888,0.44122,0.46154,0.20541,1.49283,1.54209,1.34185,1.66467,0.000338198,0.000338198,0.000338198
62,1560.93,1.20429,1.44902,1.1459,1.34733,0.67353,0.46392,0.48892,0.2851,0.67988,0.45457,0.46019,0.20104,1.4702,1.51171,1.39468,1.62041,0.000329951,0.000329951,0.000329951
63,1585.32,1.20025,1.50055,1.14445,1.36325,0.66217,0.47234,0.49649,0.29464,0.66644,0.45597,0.47742,0.21044,1.44662,1.47452,1.34423,1.60759,0.000321705,0.000321705,0.000321705
64,1609.48,1.19617,1.48597,1.17112,1.3701,0.47032,0.42519,0.45695,0.26779,0.49357,0.41225,0.42996,0.18386,1.50629,1.65237,1.50172,1.66841,0.000313458,0.000313458,0.000313458
65,1633.17,1.18912,1.48398,1.13473,1.35359,0.6906,0.46524,0.48657,0.28824,0.67057,0.4482,0.46177,0.20348,1.43915,1.50363,1.32558,1.59878,0.000305211,0.000305211,0.000305211
66,1656.75,1.17883,1.44208,1.12508,1.34659,0.67539,0.45684,0.48611,0.29241,0.68152,0.43866,0.46498,0.20457,1.47678,1.52676,1.37394,1.62648,0.000296964,0.000296964,0.000296964
67,1681.12,1.14533,1.42704,1.08256,1.33068,0.7088,0.45367,0.50188,0.29499,0.71198,0.43487,0.48432,0.21463,1.46436,1.47412,1.35125,1.64487,0.000288718,0.000288718,0.000288718
68,1705.32,1.17553,1.46651,1.08476,1.34102,0.7461,0.34887,0.42869,0.25241,0.72862,0.32686,0.39386,0.16392,1.57852,1.84627,1.8007,1.72138,0.000280471,0.000280471,0.000280471
69,1729.16,1.14522,1.43431,1.06876,1.32806,0.68739,0.48709,0.50465,0.30187,0.70261,0.45732,0.47379,0.21902,1.41773,1.44805,1.29598,1.60597,0.000272224,0.000272224,0.000272224
70,1753.09,1.14246,1.42504,1.07202,1.33385,0.73992,0.4665,0.51974,0.29744,0.7293,0.44433,0.48063,0.2122,1.47814,1.48586,1.32163,1.63173,0.000263978,0.000263978,0.000263978
71,1777.02,1.16302,1.42749,1.07761,1.34534,0.71978,0.47569,0.50554,0.29842,0.72778,0.45595,0.4873,0.21987,1.4109,1.4929,1.30657,1.60208,0.000255731,0.000255731,0.000255731
72,1801.53,1.14917,1.38852,1.06077,1.32929,0.70448,0.50948,0.51206,0.30959,0.70584,0.47994,0.48515,0.22041,1.41908,1.46491,1.27943,1.60075,0.000247484,0.000247484,0.000247484
